App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
abel533/Mapper,TestDeleteByPrimaryKey_08f4f7a5c0149b187d91a2c3ee1bd8390df2315a.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TestDeleteByPrimaryKey_08f4f7a5c0149b187d91a2c3ee1bd8390df2315a.java,,,,7,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,6,0
Activiti/Activiti,RetryInterceptorTest_6d954ddb8567666ffa56f36cd4e3ea8ec9e3b077.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\RetryInterceptorTest_6d954ddb8567666ffa56f36cd4e3ea8ec9e3b077.java,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
Activiti/Activiti,DisabledSchemaValidationTest_846ffdff19d4d9bb3ba89550726f5e1081da2815.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\DisabledSchemaValidationTest_846ffdff19d4d9bb3ba89550726f5e1081da2815.java,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
adobe/asset-share-commons,AssetRenditionsDownloadServletTest_79fcce8819b133a86dae80f55a2af93bab22a3e5.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\AssetRenditionsDownloadServletTest_79fcce8819b133a86dae80f55a2af93bab22a3e5.java,,,,4,3,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,3,0
adobe/asset-share-commons,AssetRenditionsZipperImplTest_79fcce8819b133a86dae80f55a2af93bab22a3e5.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\AssetRenditionsZipperImplTest_79fcce8819b133a86dae80f55a2af93bab22a3e5.java,,,,10,1,0,0,0,0,3,0,0,0,2,0,0,0,,,0,0,0,0,9,0
Adyen/adyen-java-api-library,CheckoutTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CheckoutTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,,,,131,99,0,0,0,0,109,0,0,0,0,9,0,0,,,0,0,0,0,117,0
Adyen/adyen-java-api-library,NotificationTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\NotificationTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,,,,12,9,0,0,0,0,10,10,0,0,0,0,0,0,,,0,0,0,0,10,0
Adyen/adyen-java-api-library,PaymentRequestBuilderTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\PaymentRequestBuilderTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0
Adyen/adyen-java-api-library,SaleToAcquirerDataSerializerTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SaleToAcquirerDataSerializerTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/druid,JdbcUtilsTest_d98ba96ab09b97b2ffae1f9f23352adcbcb0131b.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\JdbcUtilsTest_d98ba96ab09b97b2ffae1f9f23352adcbcb0131b.java,,,,4,1,0,0,0,0,2,0,0,0,0,0,0,0,,,1,1,0,0,2,0
alibaba/easyexcel,SimpleDataTest_28c72d6db960078dd5265fdf33b112e4470e82f2.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SimpleDataTest_28c72d6db960078dd5265fdf33b112e4470e82f2.java,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,5,0,0,5,0
alibaba/fastjson,Bug_for_smoothrat6_54a5f6d78c4d51ba064db4cf35bd6aab04e6c33d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Bug_for_smoothrat6_54a5f6d78c4d51ba064db4cf35bd6aab04e6c33d.java,,,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,ArrayListMultimapTest_979148d8212b29f3e34ca4036a919bfeaf5bf7a7.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\ArrayListMultimapTest_979148d8212b29f3e34ca4036a919bfeaf5bf7a7.java,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,HashMultimapTest_23070b2ccd30c5bb3d78e735b098f835756a190a.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\HashMultimapTest_23070b2ccd30c5bb3d78e735b098f835756a190a.java,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,Issue1177_2_f164d8519ff061baac6f8d58a5a1b88c2afab00e.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue1177_2_f164d8519ff061baac6f8d58a5a1b88c2afab00e.java,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,Issue1480_97ee7b63bfd1563d5071fa5a7a55806bb1c3cb85.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue1480_97ee7b63bfd1563d5071fa5a7a55806bb1c3cb85.java,,,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,Issue1584_23070b2ccd30c5bb3d78e735b098f835756a190a.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue1584_23070b2ccd30c5bb3d78e735b098f835756a190a.java,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,0,0,1,0
alibaba/fastjson,Issue1780_JSONObject_803fd738ec9780457f7c4115e452cefa7c36475e.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue1780_JSONObject_803fd738ec9780457f7c4115e452cefa7c36475e.java,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,Issue1780_Module_803fd738ec9780457f7c4115e452cefa7c36475e.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue1780_Module_803fd738ec9780457f7c4115e452cefa7c36475e.java,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,Issue2430_8d94a61687408d722eb0458390838608ce7a7d99.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue2430_8d94a61687408d722eb0458390838608ce7a7d99.java,,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,2,0
alibaba/fastjson,Issue3082_23070b2ccd30c5bb3d78e735b098f835756a190a.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue3082_23070b2ccd30c5bb3d78e735b098f835756a190a.java,,,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
alibaba/fastjson,JSONPParseTest2_194b2995920abc7270d3192b6c75019c20e523fd.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\JSONPParseTest2_194b2995920abc7270d3192b6c75019c20e523fd.java,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,JSONPParseTest3_3afe787bbd71a2b0b5dd248c3bf04376e3b932e3.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\JSONPParseTest3_3afe787bbd71a2b0b5dd248c3bf04376e3b932e3.java,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
alibaba/fastjson,DefaultExtJSONParser_parseArray_c32a685a7795453e48e0123df07ba1d441a8c248.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\DefaultExtJSONParser_parseArray_c32a685a7795453e48e0123df07ba1d441a8c248.java,,,,28,7,0,0,0,0,28,0,0,0,0,5,0,0,,,0,0,0,0,28,0
alibaba/fastjson,TypeUtilsTest_833fe4263931ea05de88ec09fd993521854d40b4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TypeUtilsTest_833fe4263931ea05de88ec09fd993521854d40b4.java,,,,48,2,0,0,0,0,47,0,0,0,0,0,0,0,,,0,0,0,0,47,0
